,beirut,baalbek,north,beqaa,aakar,south,mount,nabatieh
GR16_Y1,222.7741935483871,101.14942528735632,172.96153846153845,118.88764044943821,152.16176470588235,154.58715596330276,115.85106382978724,98.55445544554455
GR16_Y3,239.48387096774192,125.31395348837209,182.58333333333334,136.816091954023,171.1417910447761,183.8148148148148,128.33870967741936,125.78947368421052
GR16_Y4,244.25806451612902,128.5632183908046,182.02747252747253,136.56179775280899,165.59558823529412,188.29357798165137,125.29787234042553,125.6930693069307
GR16_Y6,243.86666666666667,143.16470588235293,198.69411764705882,147.77906976744185,175.1439393939394,197.37037037037038,131.15168539325842,145.53061224489795
GR16_Y7,264.1034482758621,163.63529411764705,209.5235294117647,165.49411764705883,190.00757575757575,210.25688073394497,147.27528089887642,167.11
NLG16_Y1,98.36666666666666,29.795180722891565,25.927777777777777,38.57954545454545,20.38167938931298,39.924528301886795,45.89784946236559,23.70212765957447
NLG16_Y3,110.25806451612904,39.46511627906977,33.861111111111114,45.28735632183908,26.94776119402985,59.50925925925926,51.08064516129032,36.45263157894737
NLG16_Y4,114.70967741935483,39.2906976744186,33.672222222222224,42.45454545454545,24.355555555555554,62.157407407407405,42.956989247311824,37.193548387096776
NLG16_Y6,89.53333333333333,31.741176470588236,30.41764705882353,32.72093023255814,22.81679389312977,51.416666666666664,29.808988764044944,25.948979591836736
NLG16_Y7,69.24137931034483,24.294117647058822,28.470588235294116,30.129411764705882,22.113636363636363,41.48623853211009,22.814606741573034,22.21
LSG16_Y1,131.83333333333334,76.2289156626506,148.95555555555555,81.6590909090909,137.58778625954199,119.0377358490566,71.1989247311828,82.19148936170212
LSG16_Y3,129.2258064516129,85.84883720930233,148.72222222222223,91.52873563218391,144.19402985074626,124.30555555555556,77.25806451612904,89.33684210526316
LSG16_Y4,129.5483870967742,90.76744186046511,150.37777777777777,95.6590909090909,142.46666666666667,127.87962962962963,83.68817204301075,99.31182795698925
LSG16_Y6,154.33333333333334,111.4235294117647,168.2764705882353,115.05813953488372,152.5,145.9537037037037,101.34269662921348,119.58163265306122
LSG16_Y7,194.86206896551724,139.34117647058824,181.0529411764706,135.36470588235295,167.8939393939394,168.77064220183487,124.46067415730337,144.9
